mine_id,relationship,company
26346,operator,Blue Ridge Gold Corp
26346,owner,Blue Ridge Gold Corp
26353,operator,Kirkland Lake Gold Ltd.
26353,owner,Kirkland Lake Gold Ltd.
26359,operator,Ora Banda Mining Limited
26359,owner,Ora Banda Mining Limited
26364,operator,Northern Star Resources Limited
26364,owner,Northern Star Resources Limited
26366,operator,Northern Star Resources Limited
26366,owner,Northern Star Resources Limited
26368,operator,Sons of Gwalia Ltd
26368,owner,Sons of Gwalia Ltd
26369,operator,NA
26369,owner,NA
26370,operator,NA
26370,owner,NA
26378,operator,Austwhim Resources NL (Kingsgate Cons)
26378,owner,Kingsgate Consolidated Limited
26380,operator,NA
26380,owner,NA
26381,operator,Teck Resources Limited
26381,owner,Teck Resources Limited
26382,operator,Pegasus Gold Australia
26382,owner,Pegasus Gold Inc.
26383,operator,NA
26383,owner,NA
26385,operator,Bullabulling Gold (UK) Limited
26385,owner,Norton Gold Fields Limited
26388,operator,Kaiser Reef Limited
26388,owner,Kaiser Reef Limited
26392,operator,NA
26392,owner,NA
26396,operator,NA
26396,owner,NA
26401,operator,NA
26401,owner,NA
26410,operator,New Butte Mining Ltd (Butte Mining)
26410,owner,New Butte Mining Ltd (Butte Mining)
26419,operator,Newcrest Mining Limited
26419,owner,Newcrest Mining Limited
26420,operator,United Paragon Mining Corporation
26420,owner,United Paragon Mining Corporation
26421,operator,Newmont Corporation
26421,owner,Newmont Corporation
26422,operator,Ramelius Resources Limited
26422,owner,Ramelius Resources Limited
26427,operator,Red 5 Limited
26427,owner,Red 5 Limited
26435,operator,NA
26435,owner,NA
26438,operator,Matsa Resources Limited
26438,owner,Matsa Resources Limited
